psa,offense_group,offense_text,shift,method,district,ward,year,month,day_of_week,latitude,longitude
503.0,property,THEFT F/AUTO,midnight,others,5.0,5.0,2023,8.0,Friday,38.9200322609,-76.9702550582
304.0,property,THEFT F/AUTO,day,others,3.0,1.0,2023,8.0,Sunday,38.9255015454,-77.0323163167
605.0,property,THEFT F/AUTO,evening,others,6.0,7.0,2023,8.0,Monday,38.8645299147,-76.9487186974
708.0,violent,ASSAULT W/DANGEROUS WEAPON,day,gun,7.0,8.0,2023,6.0,Friday,38.8325599734,-77.0090065321
702.0,violent,ROBBERY,day,gun,7.0,8.0,2023,9.0,Thursday,38.8483017663,-76.966572736
603.0,violent,ROBBERY,midnight,gun,6.0,7.0,2023,8.0,Friday,38.8863965351,-76.9555158822
301.0,violent,ROBBERY,midnight,gun,3.0,1.0,2023,5.0,Thursday,38.9169913016,-77.0332436991
203.0,property,THEFT/OTHER,evening,others,2.0,3.0,2023,8.0,Friday,38.9502044849,-77.0670192877
104.0,property,THEFT F/AUTO,evening,others,1.0,6.0,2023,8.0,Tuesday,38.9002033642,-76.9973048161
302.0,property,THEFT/OTHER,day,others,3.0,1.0,2023,5.0,Wednesday,38.928738039,-77.0336412921
306.0,property,THEFT/OTHER,day,others,3.0,1.0,2023,5.0,Sunday,38.9168236825,-77.0166736993
305.0,property,THEFT/OTHER,day,others,3.0,1.0,2023,7.0,Friday,38.91628428,-77.0307876495
501.0,property,THEFT/OTHER,day,others,5.0,6.0,2023,2.0,Friday,38.905645494,-77.0025594614
106.0,property,MOTOR VEHICLE THEFT,evening,others,1.0,6.0,2023,2.0,Tuesday,38.8784039153,-77.0082632126
505.0,property,THEFT F/AUTO,evening,others,5.0,5.0,2023,2.0,Monday,38.9215811022,-76.9937613603
203.0,property,THEFT F/AUTO,evening,others,2.0,3.0,2023,6.0,Friday,38.9554956638,-77.0681269855
106.0,property,THEFT/OTHER,day,others,1.0,8.0,2023,9.0,Sunday,38.8713681459,-77.0073687453
708.0,property,MOTOR VEHICLE THEFT,day,others,7.0,8.0,2023,8.0,Sunday,38.8260506011,-77.0068764708
